insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (1, 2, 27, 'Science', 6);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (2, 13, 18, 'Physical Education', 3);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (3, 19, 56, 'Physical Education', 3);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (4, 19, 21, 'English', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (5, 15, 47, 'Physical Education', 2);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (6, 16, 47, 'English', 6);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (7, 20, 48, 'Science', 6);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (8, 3, 15, 'Science', 3);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (9, 16, 54, 'History', 4);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (10, 13, 28, 'History', 6);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (11, 12, 50, 'English', 6);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (12, 7, 13, 'Science', 6);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (13, 3, 24, 'Science', 5);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (14, 12, 36, 'Mathematics', 5);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (15, 15, 20, 'English', 3);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (16, 10, 34, 'Mathematics', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (17, 10, 21, 'Mathematics', 6);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (18, 15, 28, 'History', 4);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (19, 4, 42, 'History', 1);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (20, 13, 55, 'History', 6);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (21, 17, 44, 'History', 3);
insert into Matricula (id, idProfesorado, idAlumnado, Asignatura, Curso) values (22, 13, 9, 'Mathematics', 3);
